Last Name,First Name,Title,Institution,Advisor 1,Advisor 2,Advisor 3,Advisor 4,Subject,SubjectReconciled,Year,Failed
Gerbino,Anthony,"François Blondel (1618–1686): Architecture, Erudition, and Early Modern Science",Columbia,R. Middleton,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Herscher,Andrew,"Literal Functions: Modern Architecture, Literature, and Literary Theory in Interwar Prague",Harvard,K.M. Hays,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Higgs,Jamie L.,Some Observations on Visigothic Architecture and Its Influence on the British Isles: More Spanish Symptoms,Louisville,S. Maloney,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Justus,Kevin,"A Fractured Mirror: The Royal Portraiture of Louis XV and the Search for a Successful Image through Architecture; or, Versailles Is the Thing in which We Will Catch the Character of the King",UNC Chapel Hill,M. Sheriff,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Kahil,Abdallah,"The Sultan Hasan Complex in Cairo, 1357–1364",IFA/NYU,P. Soucek,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Kavuri-Bauer,Santhi,From Picturesque Ruin to World Heritage Site: A Spatial History of Fatehpur Sikri,UCLA,R.L. Brown,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Klahr,Douglas,"The Architectural Patronage of Wilhelm II: Issues of Urban, Dynastic, and National Identity in the Work of Hofarchitekt Ernst von Ihne",Brown,D. Neumann,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Laos,Nora,Provençal Baptisteries: Early Christian Origins and Medieval Afterlife,Princeton,S. Ćurčić,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Milbank,Thomas Lightfoot,"A Commercial and Industrial Building in the Athenian Agora, 480 BC to AD 125",Bryn Mawr,S. Miller-Collett,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Minor,Heather,"Reforming Rome: Architecture and Culture, 1730–58",Princeton,J. Pinto,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Nitzan-Shiftan,Alona,"Israelizing Jerusalem: The Encounter between Architectural and National Ideologies, 1967–1977",MIT,M. Jarzombek,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Pyla,Panayiota,"Ekistics, Architecture and Environmental Politics 1945–76: A Prehistory of Sustainable Development",MIT,S. Anderson,M. Jarzombek,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Roff,Shelley Elaine,Building Images of Prosperity: The Catalan Merchant Halls of the Fourteenth and Fifteenth Centuries,Brown,S. Bonde,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Senseney,John,The Shaping of Imperial Order: Rome's Porticoed Enclosures from the Late Republic to the High Principate and the Question of Hellenistic Antecedents,UC Santa Barbara,F. Yegül,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
El Amrousi,Mohamed,"Beyond Muslim Space: Jeddah, Muscat, Aden, and Port Said",UCLA,I. Bierman-McKinney,,,,Art of the Middle East/North Africa,Art of the Middle East/North Africa,2002,No
Farhat,May,Islamic Piety and Dynastic Legitimacy: The Case of the Shrine of Ali al-Rida in Mashhad (10th–17th Century),Harvard,G. Necipoğlu,,,,Art of the Middle East/North Africa,Art of the Middle East/North Africa,2002,No
Kahil,Abdallah,"The Sultan Hasan Complex in Cairo, 1357–1364",IFA/NYU,P. Soucek,,,,Art of the Middle East/North Africa,Art of the Middle East/North Africa,2002,No
Wood,Barry,The Shahnama-i Isma'il: Art and Cultural Memory in Sixteenth-Century Iran,Harvard,G. Necipoğlu,,,,Art of the Middle East/North Africa,Art of the Middle East/North Africa,2002,No
Yoltar,Aysin,"The Role of Illustrated Manuscripts in Ottoman Luxury Book Production, 1413–1520",IFA/NYU,P. Soucek,,,,Art of the Middle East/North Africa,Art of the Middle East/North Africa,2002,No
Becker,Jack,A Taste for Landscape: Studies in American Tonalism,Delaware,W. Homer,,,,Art of the United States,Art of the United States,2002,No
Braddock,Alan,Displacing Orientalism: Thomas Eakins and Ethnographic Modernity,Delaware,M. Leja,A. Nemerov,,,Art of the United States,Art of the United States,2002,No
Brazeau,Linda,’The Visionaries’: Archer and Anna Hyatt Huntington—Patrons of American Sculpture,CUNY,S. Webster,,,,Art of the United States,Art of the United States,2002,No
Breskin,Isabel,"Visualizing the Nineteenth-Century American City: Lithographic Views of San Francisco, 1849–1905",UC Berkeley,M. Lovell,,,,Art of the United States,Art of the United States,2002,No
Brugger,Laura,"Constructing Taste: Athenaeums and Academies of Art in the United States, 1800–1865",Columbia,H. Ballon,,,,Art of the United States,Art of the United States,2002,No
Bubenzer,Brian,The Arthurian Architecture of H. H. Richardson,Wisconsin,N. Menocal,,,,Art of the United States,Art of the United States,2002,No
Carso,Kerry,"Reading the Gothic: American Art and Architecture in the Age of Romantic Literature, 1800–1850",Boston,K. Morgan,,,,Art of the United States,Art of the United States,2002,No
Cohen,Michele,"Art to Educate: A History of Public Art in the New York City Public Schools, 1890–1976",CUNY,M. Park,,,,Art of the United States,Art of the United States,2002,No
Collins-Goodyear,Ann,"American Art of the Second Machine Age: Space, Sputnik, and Technocracy, 1957–1971",UT Austin,R. Shiff,,,,Art of the United States,Art of the United States,2002,No
Cosentino,Delia A.,"Landscapes of Lineage: Nahua Pictorial Genealogies of Early Colonial Tlaxcala, Mexico",UCLA,C. Klein,,,,Art of the United States,Art of the United States,2002,No
Cullen,Deborah,Robert Blackburn: American Printmaker,CUNY,D. Kelder,,,,Art of the United States,Art of the United States,2002,No
Duffy,Henry,New York City Collections (1865–1895),Rutgers,M. Baigell,,,,Art of the United States,Art of the United States,2002,No
Fowler,Cynthia,Early American Modernism and Craft Production: The Embroideries of Marguerite Zorach,Delaware,W. Homer,,,,Art of the United States,Art of the United States,2002,No
Frohne,Andrea,The African Burial Ground in New York City: Manifesting and Representing Spirituality of Space,Binghamton,N. Nzegwu,,,,Art of the United States,Art of the United States,2002,No
Hayward,Judith,"Nature and Progress: Winslow Homer's Oils, 1880–1890",Columbia,B. Novak,D. Rosand,,,Art of the United States,Art of the United States,2002,No
Iarocci,Louisa,Spaces of Desire: The Department Store in America,Boston,K. Morgan,,,,Art of the United States,Art of the United States,2002,No
Lee,Elizabeth,"White Fantasies: Dirt, Desire, and Visual Culture in Late Nineteenth-Century America",Indiana,S. Burns,,,,Art of the United States,Art of the United States,2002,No
Mitchell,Mark,The Artist-Makers: Professional Art Training in Mid-Nineteenth-Century New York City,Princeton,J. Wilmerding,,,,Art of the United States,Art of the United States,2002,No
Morgan,Kerry,"From the Courtroom to the Gallows: Picturing Justice in American Visual Culture, 1850–1880",Kansas,C. Eldredge,,,,Art of the United States,Art of the United States,2002,No
Ott,John W.,"The Gilded Rush: Art Patronage, Industrial Capital, and Social Authority in Victorian California",UCLA,C. Whiting,,,,Art of the United States,Art of the United States,2002,No
Paulk,Ann B.,Thomas Eakins and Antiheroic Modernism,Iowa,J. Kinsey,,,,Art of the United States,Art of the United States,2002,No
Randall,Terree,"Democracy's Passion Play: The Lincoln Memorial, Politics, and History as Myth",CUNY,S. Webster,,,,Art of the United States,Art of the United States,2002,No
Savidou-Terrono,Evdokia,For ‘The Boys in Blue’: The Art Galleries of the Sanitary Fairs,CUNY,W. Gerdts,,,,Art of the United States,Art of the United States,2002,No
Segal,Eric,"Realizing Whiteness in U.S. Visual Culture: The Popular Illustration of J. C. Leyendecker, Norman Rockwell, and The Saturday Evening Post, 1917–1945",UCLA,C. Whiting,,,,Art of the United States,Art of the United States,2002,No
Wingate,Jennifer,"Doughboys, Art Worlds, and Identities: Sculpted Memories of World War I in the United States",Stony Brook,M. Bogart,,,,Art of the United States,Art of the United States,2002,No
Cho,Insoo,Images of Liu Haichan: The Formation and Transformation of a Daoist Immortal's Iconography,Kansas,M. Weidner,,,,Chinese Art,Chinese Art,2002,No
Dramer,Kim,Between the Living and the Dead: Han Dynasty Stone Carved Tomb Doors,Columbia,R. Harrist,,,,Chinese Art,Chinese Art,2002,No
Hammers,Roslyn L.,The Production of Good Government: Images of Agrarian Labor in the Southern Song (1127–1279) and Yuan (1272/79–1368) China,Michigan,M. Powers,,,,Chinese Art,Chinese Art,2002,No
Huang,Shih-Shan Susan,"The Triptych of Daoist Deities of Heaven, Earth, and Water and the Making of Visual Culture in the Southern Song Period (1127–1279)",Yale,R. Barnhart,,,,Chinese Art,Chinese Art,2002,No
Kucera,Karil,Cliff Notes: Text and Image at Baodingshan,Kansas,A. McNair,,,,Chinese Art,Chinese Art,2002,No
Kuwayama,George,Chinese Ceramics in Colonial Latin America,Michigan,M. Powers,,,,Chinese Art,Chinese Art,2002,No
Lai,Guolong,"The Baoshan Tomb: Religious Transitions in Art, Ritual, and Text during the Warring States Period (480–221 BCE)",UCLA,L. von Falkenhausen,,,,Chinese Art,Chinese Art,2002,No
Purtle,Jennifer,"The Production of Painting, Place, and Identity in Song-Yuan (960–1368) Fujian",Yale,R. Barnhart,,,,Chinese Art,Chinese Art,2002,No
Tenckhoff,Diana,The Art of Cha Shih-piao (1615–1698),Kansas,A. McNair,,,,Chinese Art,Chinese Art,2002,No
Wu,Chao-Jen,Between Modernity and Tradition: Zhao Zhiqian (1829–1884) and the Epigraphic Movement of the Late Qing Period,Kansas,C. Li,M. Stokstad,,,Chinese Art,Chinese Art,2002,No
Carpenter,Jane H.,"Conjure Woman: Betye Saar and Rituals of Transformation, 1960–1990",Michigan,R. Zurier,,,,Contemporary Art,Contemporary Art,2002,No
Collins-Goodyear,Ann,"American Art of the Second Machine Age: Space, Sputnik, and Technocracy, 1957–1971",UT Austin,R. Shiff,,,,Contemporary Art,Contemporary Art,2002,No
Cummins,Louis,"Undermining the Museum: The Rhetorics of Michael Asher, Marcel Broodthaers, Daniel Buren, Hans Haacke and Louise Lawler",CUNY,R. Golan,,,,Contemporary Art,Contemporary Art,2002,No
De Bruyn,Eric,The Filmic Anomaly: Moments in Post-Minimalism (1966–1970),CUNY,A. Chave,,,,Contemporary Art,Contemporary Art,2002,No
English,Darby,"Black Artists, Black Work? Regarding Difference in Three Dimensions",Rochester,D. Crimp,,,,Contemporary Art,Contemporary Art,2002,No
Filice,Eugenio,"Figurations of Ethics, Configurations of Power: Michel Foucault, Attila Richard Lukacs, and the New Painting",McGill,C. Ross,,,,Contemporary Art,Contemporary Art,2002,No
Hillings,Valerie,"Experimental Artists' Groups in Europe, 1951–1968: Abstraction, Interaction and Internationalism",IFA/NYU,R. Lubar,,,,Contemporary Art,Contemporary Art,2002,No
Kroksnes,Andrea,Reframing the 80s: Visual Culture and the Picture Generation,Stony Brook,N. Mirzoeff,,,,Contemporary Art,Contemporary Art,2002,No
Latorre,Guisela,"Chicana/o Murals of California: Indigenist Aesthetics and the Politics of Space, 1970–2000",UIUC,J. Mendelson,,,,Contemporary Art,Contemporary Art,2002,No
Lopez,Elizabeth,"The Mexican Front: Artist Collectives in Mexico City, 1968–1985",UCLA,A. Boime,,,,Contemporary Art,Contemporary Art,2002,No
Moffat,Isabelle,The Independent Group's Encounters with Logical Positivism and Searches for Unity in the 1951 Growth and Form Exhibition,MIT,L. Marx,,,,Contemporary Art,Contemporary Art,2002,No
Paul,April,Byron Browne: The Measure of a Polemical Legacy,CUNY,D. Kelder,,,,Contemporary Art,Contemporary Art,2002,No
Petersen,Stephen,"Space and the Space Age in Postwar European Art: Lucio Fontana, Yves Klein, and Their Contemporaries",UT Austin,R. Shiff,,,,Contemporary Art,Contemporary Art,2002,No
Pyla,Panayiota,"Ekistics, Architecture and Environmental Politics 1945–76: A Prehistory of Sustainable Development",MIT,S. Anderson,M. Jarzombek,,,Contemporary Art,Contemporary Art,2002,No
Saunders,Susanna Terrell,Anne Truitt: Placement and a Sense of Place,Bryn Mawr,D. Cast,,,,Contemporary Art,Contemporary Art,2002,No
Teagle,Rachel,The Aesthetics of Information: Terry Winters and Scientific Representation,Stanford,W. Corn,,,,Contemporary Art,Contemporary Art,2002,No
Andre,Laura,"Lunar Nation: The Moon and American Visual Culture, 1957–1972",UNC Chapel Hill,C. Mavor,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Burns-Chase,Alisia,An American Heroine in Paris: Hollywood and Women in the City of Light in the 1950s,Minnesota,R. Silberman,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Chase,Vanessa,The Casa delle Zitelle: Gender and Architecture in Renaissance Venice,Columbia,J. Connors,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Conaty,Siobhan,"Italian Futurism: Gender, Culture, and Power",Case Western Reserve,E. Landau,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
De Vries,Joyce,"Power, Gender, and Representation in the Italian Renaissance Court: The Cultural Patronage of Caterina Sforza (1463–1509)",UIUC,J. Wood,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
English,Darby,"Black Artists, Black Work? Regarding Difference in Three Dimensions",Rochester,D. Crimp,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Filice,Eugenio,"Figurations of Ethics, Configurations of Power: Michel Foucault, Attila Richard Lukacs, and the New Painting",McGill,C. Ross,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Fraser,Kathryn Ruth,The Makeover and Other Consumerist Narratives,McGill,W. Straw,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Harvey,Benjamin,Formalism's First Affair: What Roger Fry Made of Paul Cézanne,UNC Chapel Hill,C. Mavor,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Kroksnes,Andrea,Reframing the 80s: Visual Culture and the Picture Generation,Stony Brook,N. Mirzoeff,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Latimer,Tirza,"Looking Like a Lesbian: The Sexual Politics of Portraiture, Paris between the Wars",Stanford,W. Corn,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Macapia,Peter,"Minimalism, Post-Minimalism and Wittgenstein: The Problem of Meaning and Intention",Columbia,R. Krauss,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Murphy,Sheila C.,"Lurking and Looking: Media Technologies and Cultural Convergences of Spectatorship, Surveillance, and Voyeurism",UC Irvine,A. Friedberg,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Nitzan-Shiftan,Alona,"Israelizing Jerusalem: The Encounter between Architectural and National Ideologies, 1967–1977",MIT,M. Jarzombek,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Rando,Flavia,Generations of Lesbian Self-Representation and the Construction of Desire,Rutgers,M. Baigell,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Richmond,Susan Erin,"Put-Ons and Take-Offs: Lynda Benglis, Feminism, and Representations of the Body, 1967–1977",UT Austin,A. Reynolds,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Salvadori,Sharon,Per Feminam Mors Per Feminam Vita: Images of Women in the Early Christian Funerary Art of Rome,IFA/NYU,T. Mathews,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Spivey,Virginia,Performing Relationships: Gendered Subjectivity in the Work of Robert Morris,Case Western Reserve,E. Landau,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Yoshimoto,Midori,"Into Performance: Japanese Women Artists in New York, 1955–1975",Rutgers,J. Marter,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Zaharia-Roth,Andrea,La donna virtuosa: ‘Portraits’ of Women in Renaissance Bergamo,USC,E. Howe,,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Zanes,R. J. Warren,Globalization and the Anxious State of a New Regionalism,Rochester,D. Crimp,J. Wolff,,,Critical Theory/Gender Studies/Visual Studies,Critical Theory/Gender Studies/Visual Studies,2002,No
Bloom,Patricia Laughlin,Dressing up Modernity: Decoration as Strategy in Art Deco Images of Women,Rutgers,M. Baigell,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Fowler,Cynthia,Early American Modernism and Craft Production: The Embroideries of Marguerite Zorach,Delaware,W. Homer,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
George,J. Leigh,"The Functions of Graphic Design: Sociologies, History, and the International Design Conference in Aspen",Binghamton,J. Tagg,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Hornbeck,Elizabeth,"Visions of Modernity: The Architectural Landscape of the 1925 Exposition of Decorative Arts, Paris",UC Santa Barbara,L. Monahan,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Klemm,Peri,"Shaping the Future, Wearing the Past: Dress and the Decorated Female Body among the Afran Qallo Oromo in Eastern Hararghe, Ethiopia",Emory,S. Kasfir,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Milhaupt,Terry,Flowers at the Crossroads: The Four-Hundred-Year Life of a Japanese Textile,Washington University,K. Brock,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Miller,Kimberly Anne,"The Philani Printing Project: Women’s Art and Activism in Crossroads, South Africa",Wisconsin,H. Drewal,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Olsen,Kara,"Through the Looking Glass: Engagements with History and the Decorative Arts in Britain, 1870–1910",UC Berkeley,M. Lovell,,,,Decorative Arts/Textiles/Design History,Decorative Arts/Textiles/Design History,2002,No
Murphy,Sheila C.,"Lurking and Looking: Media Technologies and Cultural Convergences of Spectatorship, Surveillance, and Voyeurism",UC Irvine,A. Friedberg,,,,Digital Media/Animation,Digital Media/Animation,2002,No
Avery,Elizabeth Bloom,New Deal Photography and the Campaign for Public Housing,Chicago,J. Snyder,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Baillargeon,Claude,Religious Fervor and Photographic Propaganda: Durandelle's Anatomical Studies of the Sacré-Coeur de Montmartre,UC Santa Barbara,U. Keller,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Casey-Del Priore,Kimberly Beth,Théodore Géricault's ‘Erotic’ Drawings Reconsidered as Exercises in Composition and Invention,Virginia Commonwealth,E. Garberson,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Cooper-Carson,Jeanie,"Interpreting National Identity in Time of War: Competing Views in Office of War Information (OWI) Photography, 1940–1945",Boston,K. Sichel,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Dermer,Rachelle,Led to Believe: Photography and the Construction of the Medical Subject,Boston,C. Jones,K. Sichel,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Grossman,Wendy,Modernist Gambits and Primitivist Discourses: Reframing Man Ray's Photographs of African and Oceanic Art,Maryland,J. Hargrove,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Holloway,Camara,Race-ing American Moderns: Race and Modernism in Photography between the Two World Wars,Yale,K. Jones,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Lambert,Carrie,"Yvonne Rainer's Media: Performance, Photography, and American Culture, 1961–1973",Stanford,P. Lee,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Moore,Kevin,Jacques-Henri Lartigue (1894–1986): Invention of an Artist,Princeton,P. Bunnell,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Mulligan,Therese,Ralph Eugene Meatyard: Postmodern Poetics and Photography,New Mexico,G. Batchen,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Pinson,Stephen,Speculating Daguerre,Harvard,H. Zerner,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Rittelmann,Leesa,Constructed Identities: The German Photobook from Weimar to the Third Reich,Pittsburgh,B. McCloskey,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Rosenblatt-Farrell,Noah,Twentieth-Century Photography,Duke,R. Powell,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Tonkovich,Jennifer,Claude Gillot and the Theater with a Catalogue of Drawings,Rutgers,M. Eidelberg,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Vayzman,Liena,"The Self-Portraits of Claude Cahun: Transgression, Self-Representation, and Avant-Garde Photography, 1917–1947",Yale,C. Mehring,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Yamashiro,Jennifer,Sex in the Field: Photography at the Kinsey Institute,Indiana,S. Burns,,,,Drawings/Prints/Works on Paper,Drawings/Prints/Works on Paper,2002,No
Bowes,Kimberly,Possessing the Holy: Private Churches and Private Piety in Late Antiquity,Princeton,S. Ćurčić,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Brooks,Sarah,Commemoration of the Dead: Late Byzantine Tomb Decoration (Mid-Thirteenth to Mid-Fifteenth Centuries),IFA/NYU,T. Mathews,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Byrd,Kimberly,Pierre Gilles' Topography of Constantinople and Its Antiquities: A New Translation with Commentary,Rutgers,A. St. Clair Harvey,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Choate,Steve B.,Devotion and Narrative within the Tradition of the Croce Depinta,Florida State,J. Freiberg,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Oryshkevich,Irina,A History of the Roman Catacombs from the Constantinian Era to the Renaissance,Columbia,D. Rosand,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Salvadori,Sharon,Per Feminam Mors Per Feminam Vita: Images of Women in the Early Christian Funerary Art of Rome,IFA/NYU,T. Mathews,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Stavros,Margo,"Precious Metals in Byzantine Art and Society, 843–1204",Penn State,A. Cutler,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Tuerk,Jacqueline,How to Do Things with Words and Images in Late Antiquity and the Early Middle Ages,Chicago,R. Nelson,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Yasin,Ann Marie,"Commemorating the Dead—Constructing the Community: Church Space, Funerary Monuments, and Saints' Cults in Late Antiquity",Chicago,R. Nelson,,,,Early Christian/Byzantine Art,Early Christian/Byzantine Art,2002,No
Andrews,Justine,"Imagery in the Aftermath of the Crusades: A Fourteenth-Century Illustrated Commentary on Job (Paris, B.N. ms. Graecus 135)",UCLA,B. Zeitler,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Bzdak,Michael,Wisdom and Education in the Middle Ages: Images and Traditions,Rutgers,E. McLachlan,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Ciresi,Lisa Victoria,Manifestations of the Holy as Instruments of Propaganda: The Cologna Dreikönigenschrein and the Aachen Karlsschrein and Marienschrein in Late Medieval Ritual,Rutgers,E. McLachlan,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Decker,Patricia,The Herzogenburg Moralia: A Thirteenth-Century Illuminated Manuscript of the Moralia in Job,Columbia,J. Rosenthal,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Higgs,Jamie L.,Some Observations on Visigothic Architecture and Its Influence on the British Isles: More Spanish Symptoms,Louisville,S. Maloney,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Hudson,Elizabeth,The Psalter of Blanche of Castile: Picturing Queenly Power in Thirteenth-Century France,UNC Chapel Hill,J. Folda,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Jung,Jacqueline,The West Choir Screen of Naumburg Cathedral and the Formation of Social and Sacred Space,Columbia,S. Murray,D. Freedberg,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Kann,Andrea G. J.,Picturing the World: The Illustrated Manuscripts of the Book of John Mandeville,Iowa,R. Bork,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Laos,Nora,Provençal Baptisteries: Early Christian Origins and Medieval Afterlife,Princeton,S. Ćurčić,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
Moodey,Elizabeth,Illuminated Crusader Histories for Philip the Good of Burgundy (1419–1467),Princeton,J. Marrow,,,,Early Medieval/Romanesque/Gothic Art,Early Medieval/Romanesque/Gothic Art,2002,No
